,rate
47395,1
44987,1
29014,1
10345,0
34810,0
43208,1
35561,0
43624,1
8638,0
33871,0
33613,1
49460,0
22009,0
24174,0
31982,1
8863,0
34629,0
33384,0
30643,0
18489,0
29780,1
20776,0
45872,0
7596,0
30408,1
48721,1
34626,1
48770,1
6763,0
25782,0
2581,0
30612,1
33289,1
34241,1
12066,0
49219,0
30764,1
30361,1
48647,0
31906,0
15041,0
43687,1
31217,1
49207,1
48868,1
22282,0
43462,1
36462,0
36008,0
32809,0
24888,0
47945,1
43234,1
47675,0
11232,0
29709,1
35954,0
35415,1
49020,0
31764,1
30133,1
45396,1
45454,0
47130,1
43451,1
25330,0
38449,0
43612,0
31341,1
21087,0
31662,0
32650,0
29077,0
34172,1
29335,1
48862,1
43457,1
45981,1
31792,1
43737,1
31018,1
27130,0
30281,1
35552,1
33978,0
22767,0
14262,0
36715,0
29588,0
31798,0
1356,0
48209,0
42398,0
41577,0
12318,0
43303,1
16186,0
49488,1
30521,0
3111,0
44738,0
38049,0
49673,1
13186,0
35580,0
37265,0
49690,1
35350,1
49928,1
20675,0
29551,0
28591,1
31294,0
29000,0
31199,1
25268,0
29099,1
28594,1
41941,0
33914,1
45546,0
10150,0
32165,1
39320,0
10571,0
33846,1
14443,0
16261,0
31806,1
44767,1
34229,1
32275,1
31021,0
31188,1
30788,0
26906,0
34500,0
1212,0
16898,0
34212,1
32671,0
47657,1
26413,0
29612,1
15626,0
29238,1
21841,0
34132,0
26298,0
33375,1
30804,1
22223,0
45493,1
35086,0
29020,0
29946,1
40667,0
28938,1
1220,0
48205,0
46604,1
45048,1
24581,0
35251,0
5160,0
33379,0
15815,0
29212,1
31024,1
47299,1
32311,1
32538,0
30536,0
27572,0
47379,1
47114,1
12090,0
27559,0
7991,0
28463,1
32376,0
43583,1
47626,1
48481,1
31848,1
33083,1
6408,0
32964,1
28874,1
14147,0
49021,1
34797,1
28747,1
43564,1
32057,0
29961,1
28613,1
29750,1
36187,1
39502,0
28226,0
45602,1
15677,0
17484,0
36299,1
46845,1
31069,1
33042,1
34318,1
29905,1
13851,0
15260,0
33184,1
21800,0
43664,1
33851,1
33814,1
47627,1
22198,0
32060,1
48682,1
35446,1
28869,1
33780,1
46175,1
32864,0
49252,1
44961,1
41958,0
32348,0
49416,0
41929,0
30982,1
35043,1
24522,0
33442,1
28048,0
33263,1
29397,0
49182,1
11517,0
45789,0
28887,0
43746,1
20327,0
33592,1
48418,0
44873,1
49144,1
49514,1
37966,0
32699,1
43432,1
45990,0
2524,0
28209,0
13740,0
7689,0
25298,0
30693,1
48684,1
13101,0
24138,0
49470,1
12727,0
7967,0
5179,0
25601,0
36099,1
34091,0
29487,1
37494,0
44377,1
45348,0
21685,0
29389,1
34604,1
11563,0
1416,0
46691,0
45028,0
33498,1
26431,0
44508,1
30787,1
33400,0
43268,1
46101,1
44639,1
42738,0
44041,0
31330,1
34593,1
45482,1
30881,0
48121,1
29834,1
29840,1
38088,0
47600,1
36392,0
29880,1
44224,1
30674,1
8619,0
36286,1
41785,0
824,0
45226,1
29018,1
14258,0
20703,0
45604,1
32203,0
44695,1
21418,0
49669,1
39755,0
47128,1
22163,0
4063,0
43981,0
44273,1
30374,1
28776,0
36964,0
43983,1
35809,1
27694,0
46528,1
49054,0
1533,0
7233,0
44215,1
43965,0
44488,0
77,0
46732,0
34483,1
35327,1
27698,0
30560,1
29926,1
49119,0
23176,0
44452,1
29349,0
30454,0
28413,0
32340,1
45294,1
4796,0
47790,1
7942,0
49209,0
30614,0
42291,0
34526,1
44958,1
44971,0
35473,0
5465,0
36107,0
28629,0
11249,0
34603,1
42197,0
29109,0
35948,0
48677,1
26567,0
43308,1
35458,1
34752,1
22153,0
19458,0
21662,0
20218,0
30340,1
49721,1
23278,0
12670,0
43540,1
33884,1
29308,0
48412,1
14389,0
32371,1
40548,0
20026,0
1189,0
47198,1
44125,1
29417,1
4442,0
2567,0
29920,0
8429,0
31068,1
558,0
30938,1
41729,0
32461,1
29066,1
45922,1
25325,0
45647,1
26065,0
6306,0
41557,0
47829,0
42555,0
14720,0
49607,1
26122,0
47248,0
49196,1
32109,1
2437,0
49137,0
42218,0
45214,1
47478,1
33004,0
38610,1
41984,0
31574,1
32896,1
30644,0
33261,1
33151,1
6869,0
38688,1
39925,0
48596,1
22896,0
44040,1
43748,1
41701,0
34373,1
44316,1
5953,0
46137,1
29320,1
29713,1
31403,1
30151,1
45304,1
47210,1
16725,0
47752,1
31035,0
26026,0
12384,0
22466,0
36173,1
19229,0
14594,0
22548,0
31219,1
28029,0
29974,1
45471,1
40017,0
34402,1
39529,0
30834,1
40494,0
5368,0
44851,1
11428,0
46512,1
4265,0
32665,1
49584,1
48347,1
41013,0
987,0
29976,0
24895,0
40448,0
36136,1
25402,0
22015,0
31148,1
8812,0
45516,1
32342,0
26047,0
38974,0
36091,1
39641,0
44063,0
31426,1
16277,0
47209,1
13873,0
35550,1
35823,1
41360,0
30119,1
30712,0
44071,1
11455,0
30248,0
33487,1
14607,0
10713,0
48061,0
22197,0
14081,0
30908,1
45676,1
47030,1
48118,1
2115,0
10188,0
11773,0
28240,0
24075,0
17781,0
35148,1
47635,1
19779,0
31244,0
26092,0
36575,0
33286,1
43062,0
32602,1
44596,0
2243,0
33000,1
44782,1
26138,0
12198,0
43541,1
44136,0
36410,0
33013,0
40276,0
45458,1
30019,0
39274,0
17825,0
49894,1
38248,0
36069,1
33366,1
10567,0
25437,0
3110,0
46311,1
49143,1
21569,0
33624,1
26684,0
48836,1
30503,1
30099,1
45755,0
46103,1
2388,0
33563,1
34494,1
47956,1
35206,0
691,0
38540,1
807,0
12306,0
9061,0
8151,0
35571,1
24311,0
49184,1
33307,1
33193,1
43500,1
21468,0
32271,1
49034,1
30321,0
19656,0
35431,1
49863,1
31005,1
15196,0
16136,0
3943,0
9770,0
45633,1
2886,0
47042,1
44091,1
33996,1
31141,0
43387,1
29244,0
3031,0
13230,0
29682,1
4995,0
29631,1
28524,1
20918,0
29552,1
34697,0
48199,1
36342,1
29138,1
32723,1
33662,1
16146,0
24112,0
5196,0
46036,1
43448,0
30190,0
48264,1
35038,1
7821,0
30287,1
44816,0
16605,0
43207,1
48540,1
28493,1
37488,0
44226,1
42997,0
36355,1
44107,1
1811,0
45929,1
29405,1
36217,1
35087,1
33207,0
20660,0
49040,1
44831,1
9739,0
43592,1
29903,1
36547,0
3427,0
39197,0
45856,1
30086,1
33028,1
31550,0
33144,1
30715,0
17741,0
29540,1
49185,1
1479,0
28430,1
28479,0
15227,0
29125,1
43270,1
46153,1
48415,1
47320,1
8868,0
30449,1
12167,0
30842,0
32799,1
1783,0
49286,0
49612,1
43722,0
4530,0
33234,0
36901,0
5474,0
27898,0
17443,0
1670,0
44982,1
31452,1
20013,0
47679,1
89,0
31388,1
49111,1
28978,0
24022,0
45966,1
17103,0
2227,0
33074,1
21003,0
36573,0
35140,0
34201,1
29250,1
32795,1
44365,1
44092,0
28789,0
47806,1
49155,1
43616,1
26831,0
42295,0
45514,0
41773,0
33539,1
14336,0
33063,1
37132,0
46605,0
32437,1
45492,0
6772,0
22419,0
34165,1
40315,0
47560,0
48059,0
11995,0
34025,1
38624,1
47954,0
8330,0
32400,1
32540,1
33285,1
45624,1
46485,0
5961,0
45203,1
45861,1
18910,0
17774,0
7441,0
28510,1
5207,0
27872,0
23459,0
31933,1
36346,1
46446,1
44461,0
29230,1
6742,0
43732,1
31409,0
49790,1
48191,0
28993,1
49061,1
22585,0
29695,1
42342,0
47426,1
6446,0
47414,0
15868,0
48508,1
45736,1
35037,1
29623,1
14342,0
41497,0
29702,1
49878,1
25534,0
3368,0
49105,1
34520,1
38127,0
49138,1
29107,0
26355,0
39268,0
12886,0
34743,1
20854,0
35053,1
38538,1
36347,1
43938,0
46788,1
34073,1
2001,0
34368,1
36078,0
43275,1
5569,0
49779,1
46671,1
32764,0
35600,1
3434,0
9692,0
49831,1
45734,1
30964,1
1690,0
46863,1
33363,0
32754,0
43352,1
6826,0
42963,0
47470,1
45327,0
31815,1
13050,0
48135,1
45729,1
29970,1
35508,1
47542,1
35578,1
28476,1
36426,0
31014,1
38876,0
35204,0
14378,0
29528,1
30943,1
16782,0
46300,1
29918,0
30747,1
36527,0
47368,1
29728,1
43769,1
5411,0
46875,1
16328,0
31224,0
17522,0
48186,1
43761,1
36211,1
38689,1
1974,0
44707,1
43281,0
48897,1
27967,0
46630,1
14352,0
17231,0
33122,1
4679,0
30632,1
6406,0
48075,1
15718,0
43490,1
27302,0
43316,1
46639,1
47360,1
10591,0
30733,1
33116,0
15270,0
32506,0
4799,0
34255,1
2483,0
45150,0
48538,0
48805,1
47698,1
2976,0
44350,1
28981,1
30400,0
28891,1
23229,0
32188,1
43554,1
35364,1
32014,1
14454,0
29490,0
33224,1
47175,1
13864,0
26654,0
47611,1
48440,1
43582,1
35274,0
32850,0
32326,1
30823,1
31101,1
35859,1
29704,1
36101,1
35450,1
47457,1
22943,0
22351,0
3396,0
29098,1
32387,1
47665,1
38495,0
32204,0
34982,1
29380,1
43385,0
49224,0
7015,0
35073,1
38567,1
45198,1
41454,0
45151,1
45769,1
30780,0
11865,0
48333,1
29047,0
7743,0
34275,1
35019,1
40104,0
36965,0
14945,0
45058,1
42318,0
44570,1
48940,1
49366,1
43659,1
49722,1
9721,0
47187,1
46756,1
35555,0
44166,1
34843,1
28346,0
44252,1
44594,1
34244,1
7016,0
30658,1
9873,0
31838,1
48997,1
4640,0
28473,1
6269,0
33852,1
43231,1
4010,0
29602,1
34941,1
28643,1
20952,0
11052,0
34674,1
3443,0
36238,1
29993,1
30262,1
28121,0
239,0
44080,0
28785,1
43763,0
29994,0
33726,1
31037,1
33919,1
15291,0
32335,0
17190,0
43845,1
48237,1
33909,1
15962,0
30831,1
31205,1
30507,0
49666,1
32209,1
30902,1
22594,0
34566,1
33589,0
17429,0
43562,1
33674,1
33634,1
36630,0
49707,0
45437,1
22646,0
43467,0
47391,1
41088,0
16967,0
5783,0
35399,1
33670,1
44771,1
49583,1
18701,0
48251,0
16643,0
29943,1
46121,0
2477,0
22346,0
30064,0
48389,1
49532,1
49388,1
46145,1
31552,0
34681,1
44658,1
44419,1
43832,1
18757,0
34761,1
39876,0
29427,0
44370,1
49084,1
30417,1
44201,1
36797,0
34635,1
49921,1
36703,0
1685,0
37175,0
43172,0
19352,0
4397,0
30740,1
13361,0
33270,1
44585,1
45180,1
35007,1
36260,1
42301,0
29894,1
30265,1
49931,0
49958,0
4608,0
3079,0
30008,1
30371,1
3525,0
35835,1
12294,0
44519,1
37286,0
32158,0
44618,1
48542,1
29208,1
49204,0
49828,1
33009,1
13592,0
26361,0
13888,0
37524,0
32266,1
29982,1
29421,1
43765,1
37373,0
15044,0
35898,0
28402,0
44656,0
26061,0
35569,1
31405,1
15993,0
29807,1
44954,1
33344,1
43430,1
7004,0
46208,1
40330,0
29363,1
23103,0
8404,0
30232,1
28846,1
49005,0
1374,0
22213,0
2137,0
32791,1
34641,1
35512,1
31595,1
17759,0
11582,0
34232,1
49402,1
18153,0
34394,1
27429,0
35403,1
47079,0
46472,1
49915,1
49807,1
10035,0
33398,1
47126,1
44490,1
43816,0
45401,1
24412,0
30263,1
31656,1
33467,1
46843,1
31823,1
33390,0
30078,0
18840,0
20198,0
5248,0
46029,1
47521,1
44095,0
41254,0
33752,0
7128,0
24568,0
31852,1
46371,1
11660,0
32261,1
45902,0
47139,1
44928,0
36268,1
46830,1
48896,1
22038,0
12205,0
12047,0
45712,0
44193,1
49613,0
493,0
7350,0
45737,1
48681,1
23266,0
43874,0
48321,1
3321,0
10670,0
30572,1
28425,1
30856,1
17328,0
15202,0
24839,0
33811,1
35638,1
29953,0
47453,1
47941,0
5273,0
12730,0
15606,0
45468,1
16130,0
45655,1
34904,1
13287,0
35068,1
43309,1
46644,0
35520,1
44833,0
5291,0
19403,0
35464,0
21791,0
1025,0
34980,1
25013,0
34662,1
29484,1
45717,1
43446,1
32429,1
30435,1
19546,0
24657,0
49365,1
5700,0
26450,0
25666,0
46318,1
43586,1
34178,1
38587,0
38726,1
29362,1
30166,1
31876,1
46111,0
33819,1
30916,0
33546,1
38536,1
29987,1
29129,0
9220,0
11289,0
26010,0
33112,1
5413,0
33743,1
44700,1
8282,0
44320,1
47318,1
26638,0
45574,0
11020,0
29507,1
46922,1
5804,0
35714,1
45212,1
31544,0
7872,0
39188,1
32901,1
25576,0
29207,1
31451,1
47765,1
30229,1
21552,0
21067,0
31787,1
34071,0
30877,1
31149,0
29100,1
44669,0
34503,1
43697,1
20102,0
25577,0
46055,1
3270,0
47164,1
38962,0
49298,0
28914,1
29462,1
44319,1
44872,1
30004,0
31887,1
32635,1
45727,1
28444,0
28802,1
7212,0
47275,1
21515,0
5745,0
583,0
44270,0
32701,1
43729,0
48173,1
47883,1
29164,1
33508,0
20357,0
2191,0
2448,0
35955,1
44351,1
36384,1
30704,1
29562,1
34416,1
1040,0
20549,0
46226,1
44956,1
33828,1
44064,1
44059,0
48759,0
8544,0
19723,0
39441,0
32725,0
44128,0
48397,1
16437,0
47196,1
48401,0
48041,1
43705,1
20265,0
32761,1
13253,0
7585,0
29721,1
1567,0
21168,0
49025,0
7184,0
44770,1
12376,0
31923,1
27495,0
30009,1
39597,0
36215,1
13128,0
33358,1
24490,0
11376,0
876,0
7111,0
34207,1
46196,1
30807,1
30127,1
35773,0
47663,1
11864,0
47507,1
3662,0
28661,1
47889,1
47050,1
31329,1
34907,1
35727,1
1371,0
45735,1
29265,0
44926,1
44906,1
43458,1
15021,0
35101,1
37602,0
43340,1
47003,0
45715,1
30976,1
28370,0
19216,0
11987,0
29278,1
48915,1
5789,0
45566,1
42770,0
44218,1
6948,0
8236,0
35210,1
31052,0
20669,0
12284,0
37741,0
46719,1
22109,0
28554,1
44741,1
29975,1
30838,0
31534,0
43988,1
16133,0
28650,1
31265,1
31873,1
33936,1
29214,1
26640,0
43567,1
14943,0
30210,1
35054,1
30725,1
28792,0
49278,1
46184,1
46268,1
12628,0
24053,0
26561,0
33302,1
43252,0
45561,1
33808,1
24474,0
44705,1
28815,1
7939,0
44022,1
39574,0
44457,1
46601,1
29798,1
47965,1
5085,0
35544,0
30467,1
43896,1
35173,0
15543,0
640,0
42863,0
36317,1
710,0
35792,0
32053,1
49777,0
2122,0
44515,1
31342,1
269,0
2872,0
1634,0
34580,1
46177,1
19540,0
10002,0
42630,0
28961,1
20398,0
44496,1
47618,1
30894,0
8410,0
7624,0
37519,0
43789,1
49455,1
42557,0
18564,0
33266,1
48692,1
33211,1
48839,0
29850,0
28800,0
620,0
31207,0
43225,1
32370,1
33834,1
36330,1
33019,1
38675,1
362,0
36110,1
6215,0
34420,1
21395,0
24561,0
34446,1
33942,1
45844,1
35435,1
19113,0
15442,0
33640,1
44272,1
46337,1
4403,0
44130,1
16539,0
33602,0
17695,0
35017,1
43949,0
45421,1
22720,0
31958,1
32337,1
44675,1
36100,1
32132,0
44472,1
35549,1
41676,0
43295,1
47249,1
12183,0
49904,0
30952,1
44450,0
35915,1
20323,0
29361,0
15201,0
45328,1
29236,1
36105,0
16410,0
39087,0
48338,0
11267,0
44412,1
49937,0
46316,1
25683,0
14058,0
35186,1
29457,1
47547,0
9723,0
23144,0
33448,1
17046,0
12488,0
3538,0
49161,1
12864,0
2207,0
29860,1
32916,1
31712,1
29801,1
40489,0
27168,0
39636,0
40503,0
32019,1
46084,0
23978,0
26544,0
25537,0
38433,0
34105,0
44185,1
29378,0
32202,1
34337,1
2187,0
44049,0
35740,1
48470,1
33997,1
40836,0
23120,0
36773,0
49044,1
47559,0
7188,0
3697,0
46152,1
8848,0
30046,1
47612,1
30025,0
30329,1
46016,1
38539,1
9411,0
18727,0
32460,1
33170,1
33696,1
31109,1
32351,1
36334,0
41348,0
43197,0
49292,1
27821,0
10679,0
38458,0
34300,0
23309,0
32384,0
30577,1
31210,1
34558,0
28972,1
28872,1
30233,0
33220,1
44645,1
49893,1
30496,1
32682,0
32240,0
35649,1
4437,0
48052,1
41879,0
46106,1
13588,0
28645,1
49087,1
46823,1
34881,1
3537,0
43718,1
32100,1
1873,0
49134,0
30950,1
30498,1
48054,1
16499,0
2867,0
31680,0
1874,0
48039,0
32617,1
20384,0
48639,0
36212,0
3913,0
46108,1
30236,1
8491,0
15784,0
32583,1
38273,0
34916,1
12634,0
44861,1
8731,0
45696,1
33403,1
29105,1
31211,0
43232,1
31138,1
45162,1
38707,0
26411,0
20495,0
3750,0
4810,0
42475,0
27538,0
6862,0
31533,1
46437,1
47625,1
49372,1
29486,1
32801,1
29867,0
36242,1
39797,0
29202,0
3450,0
28633,1
9314,0
43073,0
48232,1
6037,0
46731,1
22727,0
7719,0
31325,0
34933,1
14831,0
34900,0
29541,1
17129,0
2864,0
6113,0
49729,1
27478,0
32894,0
31747,1
43933,1
22843,0
30911,0
31234,1
46100,0
30623,1
12953,0
44141,1
7335,0
47005,1
17514,0
43972,0
43966,0
11555,0
31841,1
31976,0
19985,0
42516,0
18123,0
34835,1
35390,1
36058,0
21828,0
35010,0
49513,1
24801,0
3386,0
43491,1
40379,0
15287,0
30813,0
33373,1
47340,1
32171,0
34575,0
43770,1
22508,0
41659,0
17909,0
26965,0
32731,1
46338,1
33682,1
24230,0
12445,0
25894,0
29068,1
44769,1
21929,0
35489,1
34482,1
32612,1
15726,0
45067,1
26695,0
30860,1
49727,0
35516,1
43422,1
23348,0
34338,0
31065,1
21851,0
30537,1
38385,0
28848,0
32071,1
5133,0
46317,1
13176,0
28422,1
44109,0
38703,1
44009,1
49527,1
35018,1
40,0
28018,0
4078,0
29882,1
28905,1
38050,0
47539,1
34927,1
34391,0
28306,0
16452,0
3152,0
14732,0
31898,1
29247,1
17927,0
47062,1
31365,0
49614,0
30285,0
42205,0
29382,1
31940,1
45657,1
30511,1
19420,0
34058,1
49331,0
49598,1
27787,0
28668,1
40269,0
49312,0
38501,0
34193,1
41023,0
46741,1
46045,0
31705,1
41294,0
26982,0
46591,1
30142,1
18688,0
39944,0
15309,0
4848,0
14201,0
35642,1
49273,1
4223,0
35738,1
27895,0
34649,1
39619,0
46704,1
47648,1
33329,1
28890,1
26453,0
7390,0
39839,0
36229,1
19268,0
7401,0
44917,1
21422,0
21843,0
36968,0
34703,1
33014,1
46674,1
28152,0
43545,1
44843,1
45195,1
45457,0
47872,1
28616,1
45836,1
32023,1
43395,1
45593,1
49798,1
8660,0
3322,0
20334,0
11341,0
25467,0
30245,0
49147,1
30865,1
664,0
3244,0
38764,0
38261,0
36362,1
11493,0
25802,0
941,0
34140,0
38664,1
820,0
6312,0
33839,1
45379,1
30083,1
22228,0
7894,0
21573,0
36079,1
5363,0
18204,0
46785,1
43797,1
29646,1
15134,0
44089,1
39584,0
34634,1
45035,1
44644,1
29730,1
46304,0
34505,0
16475,0
28543,1
28358,0
29260,0
28013,0
33856,1
32391,1
23265,0
30822,1
17431,0
14292,0
7192,0
30985,1
29966,1
17072,0
23881,0
35421,0
36960,0
29601,0
34692,1
33322,1
33643,1
24287,0
32143,0
46354,0
29839,1
46998,1
27663,0
20589,0
32532,1
2691,0
14438,0
34646,0
31731,0
41275,0
34729,0
16948,0
48362,0
45974,0
35250,0
13529,0
14718,0
28720,1
32611,1
36208,1
15730,0
28775,1
43532,1
49199,1
33719,1
28919,0
45388,0
39543,0
30830,1
32976,1
47399,1
994,0
35266,1
10050,0
33143,0
31541,1
48056,1
36447,0
36279,1
40888,0
43474,1
25292,0
4034,0
46009,1
44337,1
44348,1
33858,0
49701,1
43442,0
48423,1
28401,0
743,0
44634,1
33058,1
866,0
48365,1
34769,1
49083,1
51,0
44785,1
29864,1
44808,1
37938,0
29619,0
48905,0
10710,0
49501,1
33720,0
26804,0
24356,0
45001,1
30159,1
6864,0
32207,1
11592,0
46181,1
31075,1
45876,1
43860,1
9572,0
44732,1
45854,1
46032,0
32229,1
45915,1
46051,1
46871,0
23361,0
31314,1
49555,1
43228,1
49305,1
676,0
22691,0
47081,0
34959,0
34829,1
9299,0
44253,1
35583,1
13681,0
6996,0
46376,1
44122,1
38802,0
28563,0
43277,1
12807,0
35518,0
30734,0
45300,1
27151,0
45374,0
45017,1
31484,1
34227,1
29648,1
29318,1
49397,1
29325,1
31461,1
17207,0
17308,0
21689,0
49060,0
7559,0
32547,1
43345,0
2494,0
48112,1
49961,1
43588,1
34910,1
34946,1
46648,1
3211,0
43324,1
33704,1
11839,0
45470,1
34290,1
45089,0
45955,0
1178,0
771,0
3659,0
16615,0
43341,0
30073,1
34348,1
34159,1
34837,1
47634,1
12429,0
46856,0
34301,1
49011,0
30153,1
6744,0
16632,0
47483,1
1172,0
12029,0
37967,0
47989,1
34041,1
23449,0
35965,1
48723,0
34400,1
48134,0
1973,0
44177,1
23884,0
46386,1
48799,1
23223,0
35216,1
33953,0
49875,0
27899,0
44103,0
31485,0
35623,1
45362,1
37268,0
15734,0
32038,0
27911,0
47176,0
12677,0
30605,1
43712,0
43739,1
35238,1
47352,1
44746,1
13135,0
34285,1
36352,1
39400,0
42735,0
32365,1
28693,1
30676,0
1899,0
45628,1
27231,0
32937,1
43834,1
835,0
10989,0
16711,0
6827,0
22593,0
49587,1
28280,0
41689,0
2782,0
30227,0
29833,1
47799,1
36633,0
7421,0
32921,1
14325,0
14080,0
30088,1
42126,0
23944,0
31192,1
20861,0
43487,1
8336,0
15832,0
43740,1
33791,0
34746,1
34252,1
30102,1
32641,1
46034,1
43076,0
4942,0
49330,1
32359,1
46902,0
33262,0
39682,0
27700,0
6884,0
41670,0
34519,1
9377,0
36385,1
7028,0
49799,1
27237,0
12780,0
46297,1
36307,1
14903,0
32280,1
28666,0
1402,0
28534,1
49747,0
47327,0
45800,1
